Rank,Title,Website,Email domain,
433,Packaging Corp. of America,http://www.packagingcorp.com,packagingcorp.com,
434,Regions Financial,http://www.regions.com,regions.com,
435,Graphic Packaging Holding,,graphicpkg.com,
436,UGI,http://www.ugicorp.com,ugicorp.com,
437,Sprouts Farmers Markets,,sprouts.com,
438,Avantor,,avantorsciences.com,
439,Veritiv,http://www.veritivcorp.com,veritivcorp.com,
440,Rockwell Automation,http://www.rockwellautomation.com,rockwellautomation.com,
441,MasTec,,mastec.com,
442,DCP Midstream,,dcpmidstream.com,
443,Northern Trust,,northerntrust.com,
444,M&T Bank Corp.,http://www.mtb.com,mtb.com,
445,Realogy Holdings,http://www.realogy.com,realogy.com,
446,NCR,http://www.ncr.com,ncr.com,
447,T Rowe Price,,troweprice.com,
448,Vertex Pharmaceuticals,,vrtx.com,
449,Big Lots,http://www.biglots.com,biglots.com,
450,Ralph Lauren,http://www.ralphlauren.com,ralphlauren.com,
451,Ulta Beauty,,ulta.com,
452,Taylor Morrison Home,,taylormorrison.com,
453,Icahn Enterprises,http://www.ielp.com,ielp.com,
454,Blackstone Group,,blackstone.com,
455,O-I Glass,,o-i.com,
456,Fortune Brands Home & Security,,fbhs.com,
457,National Oilwell Varco,http://www.nov.com,nov.com,
458,Ovintiv,,ovintiv.com,
459,Alexion Pharmaceuticals,,alexion.com,
460,Huntsman,http://www.huntsman.com,huntsman.com,
461,Equinix,,equinix.com,
462,ABM Industries,http://www.abm.com,abm.com,
463,Ingredion,http://www.ingredion.com,ingredion.com,
464,Chipotle Mexican Grill,,chipotle.com,
465,Sinclair Broadcast Group,,sbgi.net,
466,LPL Financial Holdings,,lpl.com,
467,Crown Castle International,,crowncastle.com,
468,KLA,,kla.com,
469,Ameren,http://www.ameren.com,ameren.com,
470,KBR,,kbr.com,
471,Burlington Stores,http://www.burlingtonstores.com,burlingtonstores.com,
472,Olin,http://www.olin.com,olin.com,
473,CACI International,,caci.com,
474,Post Holdings,,postholdings.com,
475,Academy Sports and Outdoors,,academy.com,
476,Arconic,http://www.arconic.com,arconic.com,
477,Celanese,http://www.celanese.com,celanese.com,
478,Yum Brands,http://www.yum.com,yum.com,
479,Fastenal,,fastenal.com,
480,Nasdaq,,nasdaq.com,
481,Analog Devices,,analog.com,
482,McCormick,,mccormick.com,
483,Carvana,,carvana.com,
484,Franklin Resources,http://www.franklinresources.com,franklinresources.com,
485,Electronic Arts,,ea.com,
486,MDU Resources Group,,mdu.com,
487,Select Medical Holdings,,selectmedical.com,
488,Roper Technologies,,ropertech.com,
489,RPM International,,rpminc.com,
490,Cerner,,cerner.com,
491,Patterson,http://www.pattersoncompanies.com,pattersoncompanies.com,
492,Commercial Metals,,cmc.com,
493,Boise Cascade,,bc.com,
494,Hasbro,,hasbro.com,
495,A-Mark Precious Metals,http://www.amark.com,amark.com,
496,Camping World Holdings,,campingworld.com,
497,NetApp,http://www.netapp.com,netapp.com,
498,Avis Budget Group,http://www.avisbudgetgroup.com,avisbudgetgroup.com,
499,R.R. Donnelley & Sons,http://www.rrdonnelley.com,rrdonnelley.com,
500,Moody's,,moodys.com,
